"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"信息系统管理","陈国青","清华大学","中国人民大学出版社",,"十五","本科",
"水电站","匡会健","广东水利电力职业技术学院","中国水利水电出版社",,"十五","本科",
"水工建筑物（农业水利工程专业）","陈德亮、王长德","武汉大学","中国水利水电出版社",,"十五","本科",
"水利工程经济","胡志范","黑龙江水利高等专科学校","中国水利水电出版社",,"十五","本科",
"水土流失及荒漠化监测与评价","张广军","西北农林科技大学","中国水利水电出版社",,"十五","本科",
"治河防洪工程","崔承章","武汉大学","中国水利水电出版社",,"十五","本科",
"城市交通环境管理与控制","申金升","北京交通大学","中国铁道出版社  ",,"十五","本科",
"高速铁路技术","李向国","石家庄铁道学院","中国铁道出版社  ",,"十五","本科",
"交通安全工程","肖贵平","北京交通大学","中国铁道出版社  ",,"十五","本科",
"交通港站与枢纽","张超","北京交通大学","中国铁道出版社  ",,"十五","本科",
"交通运输设备","宋瑞","北京交通大学","中国铁道出版社  ",,"十五","本科",
"物流系统规划","张锦","西南交通大学","中国铁道出版社  ",,"十五","本科",
"运输商务","刘作义","北京交通大学","中国铁道出版社  ",,"十五","本科",
"运输组织学","杨浩","北京交通大学","中国铁道出版社  ",,"十五","本科",
"护理伦理学（第2版）","杜慧群","中国协和医科大学","中国协和医科大学出版社",,"十五","本科",
"临床护理学系列教材","沈宁","中国协和医科大学","中国协和医科大学出版社",,"十五","本科",
"实用医学心理学","陈彦方","山东大学","中国协和医科大学出版社",,"十五","本科",
"营养医学与食品卫生学","肖荣","山西医科大学","中国协和医科大学出版社",,"十五","本科",
"中国卫生法学（第2版）","吴崇其","中国卫生法学会","中国协和医科大学出版社",,"十五","本科",
"中医基础学科系列教材","何裕民","上海中医药大学","中国协和医科大学出版社",,"十五","本科",
"粉末冶金实验技术","廖寄乔","中南大学","中南大学出版社",,"十五","本科",
"犯罪学","康树华","北京大学","北京大学出版社",,"十五","本科",
"法理学","沈宗灵","北京大学","北京大学出版社",,"十五","本科",
"比较文学原理","乐黛云","北京大学","北京大学出版社",,"十五","本科",
"数学物理方法","吴崇试","北京大学","北京大学出版社",,"十五","本科",
"结构化学基础（第三版）","周公度、段连运","北京大学","北京大学出版社",,"十五","本科",
"抽样调查","孙山泽","北京大学","北京大学出版社",,"十五","本科",
"大学数学：数学的美与理","张顺燕","北京大学","北京大学出版社",,"十五","本科",
"高等数学","李忠","北京大学","北京大学出版社",,"十五","本科",
"集成电路工艺","关旭东、王阳元","北京大学","北京大学出版社",,"十五","本科",
"海商法教程","郭瑜","北京大学","北京大学出版社",,"十五","本科",
"辐射物理","丁富荣","北京大学","北京大学出版社",,"十五","本科",
"医学免疫学基础","高晓明","北京大学","北京大学医学出版社",,"十五","本科",
"病理生理学","吴立玲","北京大学","北京大学医学出版社",,"十五","本科",
"诊断学基础（第二版）","张树基","北京大学","北京大学医学出版社",,"十五","本科",
"内科学（第二版）","柴锡庆","北京大学","北京大学医学出版社",,"十五","本科",
"儿科学","吴希如","北京大学","北京大学医学出版社",,"十五","本科",
"神经内科学","余宗颐、陈清棠","北京大学","北京大学医学出版社",,"十五","本科",
"妇产科学（第二版）","郭燕燕","北京大学","北京大学医学出版社",,"十五","本科",
"外科学（第二版）","姜保国","北京大学","北京大学医学出版社",,"十五","本科",
"信息安全系列教材","杨义先","北京邮电大学","北京邮电大学出版社",,"十五","本科",
"现代汉语高级教程","马树德","北京语言文化大学","北京语言文化大学出版社",,"十五","本科",
"电子系统集成设计技术","李玉山","西安电子科技大学","电子工业出版社",,"十五","本科",
"电器智能化理论及应用","王汝文","西安交通大学","电子工业出版社",,"十五","本科",
"资产评估","姜楠","东北财经大学","东北财经大学出版社",,"十五","本科",
"中国现代文学批评史","许道明","复旦大学","复旦大学出版社",,"十五","本科",
"现代汉语","张斌","上海师范大学","复旦大学出版社",,"十五","本科",
"西方史学史（第二版）","张广智","复旦大学","复旦大学出版社",,"十五","本科",
"数学分析（上、下册）","欧阳光中","复旦大学","复旦大学出版社",,"十五","本科",
"高等代数学","姚慕生","复旦大学","复旦大学出版社",,"十五","本科",
"劳动经济学","陆铭","复旦大学","复旦大学出版社",,"十五","本科",
"生理学（七年制）","姚泰","复旦大学","复旦大学出版社",,"十五","本科",
"公共行政学（第二版）","竺乾威","复旦大学","复旦大学出版社",,"十五","本科",
"电动力学","刘觉平","武汉大学","高等教育出版社",,"十五","本科",
"电路分析","吴锡龙","上海大学","高等教育出版社",,"十五","本科",
"电子商务实用教程（配盘）","宋文官","上海商业职业技术学院","高等教育出版社",,"十五","本科",
"工业设计史","何人可","湖南大学","高等教育出版社",,"十五","本科",
"计算机程序设计基础","王行言","清华大学","高等教育出版社",,"十五","本科",
"计算机网络（第二版）","冯博琴","西安交通大学","高等教育出版社",,"十五","本科",
"结构力学（第四版）（上、下）","李廉锟","中南大学","高等教育出版社",,"十五","本科",
"数字系统自动设计实用教程","刘明业","北京理工大学","高等教育出版社",,"十五","本科",
"数字信号处理","陈后金","北方交通大学","高等教育出版社",,"十五","本科",
"现代通信系统原理","张会生","西北工业大学","高等教育出版社",,"十五","本科",
"信号与系统（第三版）（配CAI课件光盘）","燕庆明","江南学院","高等教育出版社",,"十五","本科",
"神经网络计算","吴微","大连理工大学","高等教育出版社",,"十五","本科",
"流体力学(上、中、下)","丁祖荣","上海交通大学","高等教育出版社",,"十五","本科",
"水力学(第三版)(上、下)","吴持恭","四川大学","高等教育出版社",,"十五","本科",
"工程力学基础(I)","蒋平","西南石油学院","高等教育出版社",,"十五","本科",
"结构力学（上、下）","朱慈勉","同济大学","高等教育出版社",,"十五","本科",
"理论力学（第六版）","王铎、程靳","哈尔滨工业大学","高等教育出版社",,"十五","本科",
"弹性力学简明教程","徐芝纶","河海大学","高等教育出版社",,"十五","本科",
"材料力学（第四版）","刘鸿文","浙江大学","高等教育出版社",,"十五","本科",
"建筑力学","李前程等","哈尔滨工业大学","高等教育出版社",,"十五","本科",
"材料力学(第四版)","孙训方","东南大学","高等教育出版社",,"十五","本科",
"理论力学","洪嘉振","上海交通大学","高等教育出版社",,"十五","本科",
"静力学","谢传锋","北京航空航天大学","高等教育出版社",,"十五","本科",
